Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Lengths,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Start Time
20.42.73.28,443,192.168.43.109,40039,TCP,1739562552.933296,0.0,1,0,66,0,66,66,[],[],0,inf,[],[],0.0,1,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,1,0,66,66,66.0,0.0,[66],0,0,0,0,0,0,0,0,0,1739562552.933296
192.168.43.109,40047,192.168.43.1,53,TCP,1739562556.461428,0.23488807678222656,7,0,421,0,83,54,[],[],0,inf,[],[],1792.3429991311339,7,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,7,0,54,83,60.142857142857146,10.176002182004645,"[66, 54, 56, 83, 54, 54, 54]",0,0,0,0,0,0,0,0,0,1739562556.461428
192.168.43.109,40048,192.168.43.1,53,TCP,1739562556.461867,0.23549580574035645,7,0,421,0,83,54,[],[],0,inf,[],[],1787.7176142328808,7,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,7,0,54,83,60.142857142857146,10.176002182004645,"[66, 54, 56, 83, 54, 54, 54]",0,0,0,0,0,0,0,0,0,1739562556.461867
192.168.43.109,40049,192.168.43.1,53,TCP,1739562556.462237,0.23493003845214844,7,0,421,0,83,54,[],[],0,inf,[],[],1792.0228625244579,7,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,7,0,54,83,60.142857142857146,10.176002182004645,"[66, 54, 56, 83, 54, 54, 54]",0,0,0,0,0,0,0,0,0,1739562556.462237
192.168.43.1,53,192.168.43.109,40047,TCP,1739562556.466152,0.23014211654663086,6,0,395,0,112,54,[],[],0,inf,[],[],1716.3307869377572,6,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,6,0,54,112,65.83333333333333,21.090413830827398,"[66, 54, 54, 55, 112, 54]",0,0,0,0,0,0,0,0,0,1739562556.466152
192.168.43.1,53,192.168.43.109,40048,TCP,1739562556.466152,0.23119115829467773,6,0,399,0,116,54,[],[],0,inf,[],[],1725.844547616445,6,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,6,0,54,116,66.5,22.55179224215524,"[66, 54, 54, 55, 116, 54]",0,0,0,0,0,0,0,0,0,1739562556.466152
192.168.43.1,53,192.168.43.109,40049,TCP,1739562556.46654,0.2306079864501953,6,0,428,0,145,54,[],[],0,inf,[],[],1855.9634754559365,6,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,6,0,54,145,71.33333333333333,33.22482338386299,"[66, 54, 54, 55, 145, 54]",0,0,0,0,0,0,0,0,0,1739562556.46654
140.82.113.25,443,192.168.43.109,39785,TCP,1739562559.366074,165.22409391403198,10,0,665,0,80,54,[],[],0,inf,[],[],4.024836718705247,10,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,10,0,54,80,66.5,9.952386648437649,"[79, 54, 66, 66, 80, 54, 66, 80, 54, 66]",0,0,0,0,0,0,0,0,0,1739562559.366074
192.168.43.109,39785,140.82.113.25,443,TCP,1739562559.366574,164.738116979599,7,0,499,0,84,55,[],[],0,inf,[],[],3.029050041052707,7,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,7,0,55,84,71.28571428571429,14.1089058572873,"[83, 83, 55, 84, 55, 84, 55]",0,0,0,0,0,0,0,0,0,1739562559.366574
192.168.43.109,63026,192.168.43.1,53,UDP,1739562561.393785,0.0,1,0,79,0,79,79,[],[],0,inf,[],[],0.0,1,[],[],0,inf,0,[],[],0,inf,0,[],[],0,inf,0,0,0,0,0,0,1,0,79,79,79.0,0.0,[79],0,0,0,0,0,0,0,0,0,1739562561.393785
